Image number,Brightness,Red,Green,Blue,Object,Reliability,Size of box
49,114.23560833333332,110.87832222222222,115.53973333333332,112.93664166666667,car,83.47887992858887,1960.0
49,114.23560833333332,110.87832222222222,115.53973333333332,112.93664166666667,car,99.79816675186156,2014.0
49,114.23560833333332,110.87832222222222,115.53973333333332,112.93664166666667,car,85.41353344917297,1824.0
50,128.3591638888889,117.69960277777778,129.66735555555556,129.85219166666667,car,99.89662766456604,6555.0
50,128.3591638888889,117.69960277777778,129.66735555555556,129.85219166666667,car,94.38123106956482,336.0
50,128.3591638888889,117.69960277777778,129.66735555555556,129.85219166666667,person,66.96085929870605,168.0
50,128.3591638888889,117.69960277777778,129.66735555555556,129.85219166666667,car,80.11114001274109,1332.0
51,122.41244444444445,109.74043333333331,126.25568055555556,119.68005,,,
52,122.27106666666668,119.97258055555557,122.60932777777778,122.45593611111111,truck,99.33382272720335,6900.0
53,141.10735,140.28474444444444,141.94270833333334,139.76484722222222,car,86.39824986457825,352.0
54,112.15665277777778,104.79646944444444,113.15874166666669,112.96025833333331,car,80.86627125740051,81.0
54,112.15665277777778,104.79646944444444,113.15874166666669,112.96025833333331,car,93.63134503364564,324.0
55,130.36901111111112,122.12085833333332,130.87819166666668,132.42646666666667,car,99.24331903457642,21353.0
55,130.36901111111112,122.12085833333332,130.87819166666668,132.42646666666667,car,99.131041765213,5676.0
55,130.36901111111112,122.12085833333332,130.87819166666668,132.42646666666667,car,64.45280313491821,182.0
55,130.36901111111112,122.12085833333332,130.87819166666668,132.42646666666667,car,94.35608386993408,1330.0
56,130.6425277777778,113.91069722222224,132.67064444444443,132.96521388888888,car,97.60265946388245,1960.0
57,127.40789166666669,120.95260277777778,130.27849166666667,124.21360555555556,car,85.60730814933777,143.0
57,127.40789166666669,120.95260277777778,130.27849166666667,124.21360555555556,car,62.77429461479187,121.0
58,91.82926388888887,84.90149722222222,93.99823888888888,90.1964,car,99.73490238189696,31886.0
59,148.8692638888889,137.6668,149.37091388888888,152.12672777777777,car,99.2990791797638,2343.0
60,100.61323055555556,97.80963333333334,102.15438333333331,98.57429722222224,car,94.06318068504332,8464.0
60,100.61323055555556,97.80963333333334,102.15438333333331,98.57429722222224,car,82.3980987071991,108.0
61,149.3441388888889,144.44086944444444,150.07674444444444,149.61155555555555,car,91.69479608535768,15576.0
61,149.3441388888889,144.44086944444444,150.07674444444444,149.61155555555555,car,94.9471950531006,110.0
61,149.3441388888889,144.44086944444444,150.07674444444444,149.61155555555555,car,96.55118584632874,494.0
62,106.84548055555555,103.73721388888887,107.55840555555557,106.58548333333331,truck,84.06514525413513,5406.0
62,106.84548055555555,103.73721388888887,107.55840555555557,106.58548333333331,car,82.28192329406738,638.0
63,126.18750277777778,121.02283888888888,127.62475555555557,125.36943333333332,car,97.5179374217987,26004.0
