,Horodateur,Age,Gender,Origin,Residence,Percentage of lifetime in a city,Image1 ID,Image2 ID,Winner,Person ID
237,21/11/2021 11:50:55,22,Male,Europe,Lausanne,0.1760486,68,116,68,22311331.0
238,21/11/2021 11:50:59,22,Male,Europe,Lausanne,0.1760486,128,52,128,22311331.0
239,21/11/2021 11:51:01,22,Male,Europe,Lausanne,0.1760486,18,112,18,22311331.0
240,21/11/2021 11:51:02,22,Male,Europe,Lausanne,0.1760486,174,441,441,22311331.0
241,21/11/2021 11:51:04,22,Male,Europe,Lausanne,0.1760486,53,227,53,22311331.0
242,21/11/2021 11:51:06,22,Male,Europe,Lausanne,0.1760486,221,25,221,22311331.0
243,21/11/2021 11:51:08,22,Male,Europe,Lausanne,0.1760486,185,93,93,22311331.0
244,21/11/2021 11:51:10,22,Male,Europe,Lausanne,0.1760486,89,448,448,22311331.0
245,21/11/2021 11:51:12,22,Male,Europe,Lausanne,0.1760486,364,375,375,22311331.0
246,21/11/2021 11:51:14,22,Male,Europe,Lausanne,0.1760486,243,272,243,22311331.0
247,21/11/2021 11:51:16,22,Male,Europe,Lausanne,0.1760486,96,297,96,22311331.0
248,21/11/2021 11:51:17,22,Male,Europe,Lausanne,0.1760486,212,211,212,22311331.0
249,21/11/2021 11:51:24,22,Male,Europe,Lausanne,0.1760486,212,81,212,22311331.0
250,21/11/2021 11:51:26,22,Male,Europe,Lausanne,0.1760486,307,393,307,22311331.0
251,21/11/2021 11:51:28,22,Male,Europe,Lausanne,0.1760486,352,83,83,22311331.0
252,21/11/2021 11:51:30,22,Male,Europe,Lausanne,0.1760486,404,332,332,22311331.0
253,21/11/2021 11:51:32,22,Male,Europe,Lausanne,0.1760486,289,381,381,22311331.0
254,21/11/2021 11:51:36,22,Male,Europe,Lausanne,0.1760486,131,51,131,22311331.0
255,21/11/2021 11:51:40,22,Male,Europe,Lausanne,0.1760486,32,441,32,22311331.0
256,21/11/2021 11:51:42,22,Male,Europe,Lausanne,0.1760486,93,276,276,22311331.0
257,21/11/2021 11:51:43,22,Male,Europe,Lausanne,0.1760486,56,5,56,22311331.0
258,21/11/2021 11:51:45,22,Male,Europe,Lausanne,0.1760486,144,30,30,22311331.0
259,21/11/2021 11:51:47,22,Male,Europe,Lausanne,0.1760486,216,147,147,22311331.0
260,21/11/2021 11:51:48,22,Male,Europe,Lausanne,0.1760486,104,137,137,22311331.0
261,21/11/2021 11:51:50,22,Male,Europe,Lausanne,0.1760486,385,362,362,22311331.0
262,21/11/2021 11:51:52,22,Male,Europe,Lausanne,0.1760486,436,358,436,22311331.0
263,21/11/2021 11:51:55,22,Male,Europe,Lausanne,0.1760486,295,451,295,22311331.0
264,21/11/2021 11:51:57,22,Male,Europe,Lausanne,0.1760486,412,375,412,22311331.0
265,21/11/2021 11:51:59,22,Male,Europe,Lausanne,0.1760486,429,338,338,22311331.0
266,21/11/2021 11:52:01,22,Male,Europe,Lausanne,0.1760486,406,57,406,22311331.0
267,21/11/2021 11:52:03,22,Male,Europe,Lausanne,0.1760486,317,277,277,22311331.0
268,21/11/2021 11:52:05,22,Male,Europe,Lausanne,0.1760486,380,7,7,22311331.0
269,21/11/2021 11:52:07,22,Male,Europe,Lausanne,0.1760486,308,272,272,22311331.0
270,21/11/2021 11:52:08,22,Male,Europe,Lausanne,0.1760486,341,187,187,22311331.0
271,21/11/2021 11:52:10,22,Male,Europe,Lausanne,0.1760486,202,278,202,22311331.0
272,21/11/2021 11:52:13,22,Male,Europe,Lausanne,0.1760486,89,234,234,22311331.0
273,21/11/2021 11:52:15,22,Male,Europe,Lausanne,0.1760486,69,265,265,22311331.0
274,21/11/2021 11:52:21,22,Male,Europe,Lausanne,0.1760486,310,12,12,22311331.0
275,21/11/2021 11:52:25,22,Male,Europe,Lausanne,0.1760486,362,79,362,22311331.0
276,21/11/2021 11:52:27,22,Male,Europe,Lausanne,0.1760486,421,444,421,22311331.0
277,21/11/2021 11:52:29,22,Male,Europe,Lausanne,0.1760486,328,4,4,22311331.0
278,21/11/2021 11:52:31,22,Male,Europe,Lausanne,0.1760486,172,191,172,22311331.0
279,21/11/2021 11:52:34,22,Male,Europe,Lausanne,0.1760486,238,283,238,22311331.0
280,21/11/2021 11:52:36,22,Male,Europe,Lausanne,0.1760486,400,38,400,22311331.0
281,21/11/2021 11:52:37,22,Male,Europe,Lausanne,0.1760486,247,405,405,22311331.0
282,21/11/2021 11:52:39,22,Male,Europe,Lausanne,0.1760486,98,309,309,22311331.0
283,21/11/2021 11:52:41,22,Male,Europe,Lausanne,0.1760486,115,209,209,22311331.0
284,21/11/2021 11:52:43,22,Male,Europe,Lausanne,0.1760486,121,110,110,22311331.0
285,21/11/2021 11:52:45,22,Male,Europe,Lausanne,0.1760486,133,37,133,22311331.0
286,21/11/2021 11:52:48,22,Male,Europe,Lausanne,0.1760486,393,33,33,22311331.0
287,21/11/2021 11:52:50,22,Male,Europe,Lausanne,0.1760486,10,366,366,22311331.0
288,21/11/2021 11:52:51,22,Male,Europe,Lausanne,0.1760486,345,123,123,22311331.0
289,21/11/2021 11:52:53,22,Male,Europe,Lausanne,0.1760486,21,65,21,22311331.0
290,21/11/2021 11:52:55,22,Male,Europe,Lausanne,0.1760486,52,240,240,22311331.0
