,Image number,Object,Reliability,Size of box
1936,375,car,98.04332256317139,4850
1937,375,car,98.16336631774902,357
1938,376,car,98.09526205062866,5820
1939,376,car,97.25956320762634,15553
1940,376,car,67.22050309181213,195
1941,376,car,70.41868567466736,255
1942,376,car,67.57451891899109,315
1943,376,car,99.2068886756897,1435
1944,377,car,99.12295341491699,22950
1945,377,car,98.09697270393372,5510
1946,377,car,67.0544981956482,169
1947,377,car,71.92931175231934,630
1948,377,car,76.48728489875793,294
1949,377,car,61.042165756225586,330
1950,377,car,91.94197058677673,1400
1951,378,car,96.83745503425598,16800
1952,378,car,99.58134293556213,28952
1953,378,car,99.6404767036438,3604
1954,378,car,82.02102184295654,25132
1955,378,car,93.34208369255066,255
1956,378,car,68.54465007781982,375
1957,378,car,92.72769093513489,768
1958,378,car,91.66385531425476,2205
1959,378,car,97.44173884391785,2070
1960,379,car,98.6218810081482,25019
1961,379,car,82.27519989013672,380
1962,379,car,98.56987595558167,936
1963,380,car,61.639249324798584,64
1964,380,car,66.56810641288757,154
1965,381,car,66.8516218662262,650
1966,381,car,69.68624591827393,228
1967,381,person,94.95223760604858,135
1968,381,person,95.0218915939331,200
1969,381,car,73.14916849136353,546
1970,381,motorbike,87.72602677345276,140
1971,381,person,94.34510469436646,688
1972,381,car,99.62870478630066,1886
1973,382,car,99.5211124420166,4515
1974,382,motorbike,95.02900242805481,7440
1975,382,person,71.32378220558167,85
1976,382,car,94.3414032459259,924
1977,382,person,96.53660655021667,234
1978,382,person,82.67059326171875,297
1979,382,person,64.58301544189453,230
1980,383,car,88.96680474281311,45410
1981,383,car,86.10063791275024,50886
1982,383,car,99.04852509498596,7272
1983,384,car,99.30227994918823,5500
1984,384,car,98.73055815696716,6840
1985,384,car,76.2350082397461,130
1986,384,car,65.68619012832642,374
1987,384,car,87.14324831962585,1599
1988,384,car,66.29571318626404,2592
1989,385,bicycle,91.27050638198853,4420
1990,385,car,98.4523057937622,1368
1991,385,car,98.83764982223511,1872
1992,386,car,99.22347068786621,4560
1993,386,car,99.26242232322693,3528
1994,386,pottedplant,63.78161311149597,3108
1995,386,pottedplant,77.22012400627136,4785
1996,386,car,98.51978421211243,272
1997,386,car,65.04895091056824,204
1998,386,car,76.00860595703125,1248
1999,387,car,94.05327439308167,24523
2000,387,car,99.57457184791565,7623
2001,387,car,97.65293598175049,2208
2002,388,car,99.95704293251038,4392
2003,388,person,84.42189693450928,516
2004,388,person,97.89010286331177,559
2005,388,car,84.97220277786255,936
2006,388,fire hydrant,78.23666334152222,1197
2007,390,person,68.82862448692322,133
2008,391,person,96.05187773704529,2552
2009,391,car,96.76138758659363,5369
2010,391,person,98.47619533538818,5875
2011,391,car,98.08899760246277,5832
2012,391,car,76.48409605026245,651
2013,392,person,68.69003176689148,816
2014,392,car,60.49354076385498,165
2015,392,person,74.41728711128235,308
2016,393,person,83.67536067962646,656
2017,393,bicycle,60.07691025733948,253
2018,394,car,87.89560198783875,2106
2019,395,car,99.71009492874146,4074
2020,395,car,95.12732028961182,48
2021,395,car,98.7889051437378,440
2022,395,car,98.45319390296936,399
2023,395,car,81.49034380912781,1677
2024,396,truck,95.14251351356506,19170
2025,396,traffic light,79.7590970993042,91
2026,396,car,89.61065411567688,950
2027,397,car,96.98053002357483,592
2028,397,car,87.3029887676239,348
2029,397,car,61.48362159729004,760
2030,397,car,75.90551972389221,1682
2031,398,car,99.13264513015747,5232
2032,398,person,99.2076575756073,3608
2033,398,bicycle,99.55899119377136,4002
2034,398,traffic light,90.20734429359436,950
2035,398,traffic light,81.89003467559814,231
2036,398,traffic light,70.4375147819519,231
2037,399,bus,82.18144178390503,1155
2038,399,car,86.24460697174072,99
2039,399,car,96.54418230056763,154
2040,399,car,98.4770655632019,460
2041,400,car,70.25818228721619,324
2042,400,car,92.71107912063599,621
2043,400,car,76.38112306594849,140
2044,400,car,99.64972138404846,2100
2045,401,car,81.5995454788208,1458
2046,401,car,90.5158519744873,384
2047,401,car,91.84693694114685,260
2048,401,car,70.91795206069946,336
2049,401,car,81.87410235404968,825
2050,401,car,97.01754450798035,990
2051,402,car,73.66033792495728,80
2052,402,car,62.508004903793335,56
2053,402,car,91.41271710395813,910
2054,402,car,80.29595017433167,336
2055,403,car,61.615538597106934,110
2056,404,train,98.06193709373474,92916
2057,405,train,91.38733744621277,111800
2058,406,car,99.68037605285645,3774
2059,406,car,99.75900650024414,10788
2060,406,car,99.38955307006836,25466
2061,406,car,87.05551624298096,168
2062,406,car,91.61916375160217,306
2063,406,car,85.51127910614014,621
2064,406,car,70.28960585594177,567
2065,406,car,87.96509504318237,588
2066,406,car,98.4316349029541,675
2067,406,car,98.96277189254761,1440
2068,407,car,85.55488586425781,12896
2069,407,car,97.73471355438232,10395
2070,407,car,93.98291110992432,1443
2071,408,truck,94.0320372581482,38753
2072,408,truck,92.74223446846008,5025
2073,408,car,83.32451581954956,208
2074,409,truck,85.84479093551636,9900
2075,409,truck,65.70276021957397,3996
2076,409,car,99.40502047538757,10150
2077,409,car,87.00203895568848,11550
2078,409,car,86.8556261062622,156
2079,409,car,99.09473061561584,2496
2080,410,person,60.92262268066406,102
2081,410,car,95.10273933410645,903
2082,410,car,71.37481570243835,240
2083,411,umbrella,75.75409412384033,5684
2084,411,chair,88.49014639854431,3672
2085,412,car,98.08387160301208,9438
2086,412,car,72.3490297794342,306
2087,412,car,72.5473165512085,196
2088,412,car,96.94245457649231,1122
2089,412,car,87.956303358078,546
2090,413,car,99.66076612472534,14664
2091,413,truck,73.85626435279846,3456
2092,413,car,99.58496689796448,4324
2093,413,car,80.89994192123413,144
2094,413,car,81.75569176673889,100
2095,413,car,84.15938019752502,540
2096,414,car,99.71859455108643,4816
2097,414,car,95.54299116134644,294
2098,414,car,79.13013100624084,180
2099,414,person,74.71297979354858,120
2100,414,car,97.2520649433136,924
2101,415,car,99.97301697731018,6732
2102,415,car,98.74359965324402,1247
2103,415,bicycle,61.74783706665039,882
2104,415,bicycle,89.7811770439148,2250
2105,416,car,75.07784962654114,165
2106,416,car,99.40208792686462,285
2107,417,car,92.98335909843445,25984
2108,417,car,90.82179069519043,260
2109,417,car,96.14972472190857,195
2110,417,car,95.8443284034729,195
2111,417,car,91.43224954605103,208
2112,417,car,94.7328507900238,570
2113,417,car,98.02849888801575,1650
2114,417,car,99.29977059364319,1680
2115,418,person,65.6451404094696,189
2116,419,traffic light,95.10650038719177,3306
2117,419,person,96.9947099685669,2160
2118,419,car,99.94455575942993,6672
2119,419,car,99.77012872695923,3885
2120,419,person,99.22789335250854,6148
2121,419,person,61.32301688194275,280
2122,419,person,79.6633780002594,240
2123,419,car,81.37181997299194,242
2124,419,person,60.11961102485657,1036
2125,420,car,97.05608487129211,3800
2126,420,car,85.89643239974976,1302
2127,421,car,89.46592211723328,45850
2128,421,person,93.99474263191223,2660
2129,421,car,99.81224536895752,5005
2130,421,car,95.24714946746826,176
2131,421,car,84.76256132125854,390
2132,421,car,97.08335995674133,2646
2133,421,bicycle,79.10324335098267,735
2134,422,car,98.92463684082031,32490
2135,422,car,99.84484314918518,4872
2136,422,car,94.17573809623718,418
2137,422,car,70.69175839424133,928
2138,424,car,93.84141564369202,3480
2139,424,car,99.66259598731995,10203
2140,424,car,64.30746912956238,1050
2141,424,car,97.6186752319336,1518
2142,424,car,65.2612030506134,2343
2143,424,fire hydrant,86.68745160102844,966
2144,425,car,99.69920516014099,10292
2145,425,car,70.9453821182251,3584
2146,425,car,76.26039385795593,450
2147,425,car,69.34753060340881,912
2148,425,car,76.38482451438904,946
2149,425,car,84.67402458190918,2310
2150,425,car,88.70016932487488,1683
2151,425,car,60.77011227607727,368
2152,426,car,98.66361021995544,26986
2153,426,car,90.35526514053345,247
2154,426,car,93.18966865539551,2756
2155,427,car,98.07924628257751,28424
2156,427,car,89.41061496734619,7738
2157,427,car,67.72024631500244,285
2158,427,car,97.5751280784607,850
2159,428,car,99.67437386512756,14280
2160,428,car,69.5119559764862,3320
2161,428,car,91.55124425888062,11857
2162,428,car,92.79410243034363,252
2163,428,car,92.58978366851807,130
2164,428,car,86.87074184417725,858
2165,428,car,99.35779571533203,2244
2166,429,truck,97.64443039894104,15792
2167,429,car,85.63222885131836,15470
2168,429,car,98.4142005443573,14946
2169,429,car,89.70555067062378,104
2170,429,car,77.19143629074097,100
2171,429,car,64.13262486457825,156
2172,429,car,77.16110944747925,684
2173,429,car,87.19896078109741,342
2174,429,car,87.55057454109192,304
2175,429,car,86.60921454429626,1656
2176,430,car,99.7151792049408,42785
2177,430,car,99.54797029495239,3380
2178,430,car,82.53635764122009,180
