Image number,Object,Reliability,Size of box
162,car,78.85624170303345,180
162,car,61.70827746391296,957
162,car,70.36018967628479,288
162,car,72.32007384300232,345
163,car,91.30005836486816,30550
163,car,98.64891767501832,3551
163,car,61.929911375045776,4080
163,car,86.65838241577148,6552
163,person,99.19229745864868,8265
163,motorbike,60.7522189617157,20272
163,car,76.06256008148193,1015
164,car,97.42861986160278,4182
164,car,96.02866172790527,728
164,car,69.38621997833252,72
164,car,83.08290839195251,90
165,car,98.9615261554718,4656
165,car,65.89164137840271,272
165,car,96.09294533729552,1247
165,car,95.35673260688782,1809
165,car,98.78540635108948,1036
165,car,99.56098794937134,936
165,car,99.21370148658752,1066
166,car,99.19865131378174,6324
166,car,95.09803652763368,4171
166,car,91.72324538230896,897
167,car,91.75955057144164,33276
167,car,88.11753392219543,323
168,car,87.64399290084839,270
168,car,97.46829867362976,1536
169,car,89.80971574783325,81
170,car,96.30233645439148,42840
170,car,88.74406218528748,792
171,car,98.30524325370789,15120
171,car,99.41588044166564,4050
171,person,70.64967751502991,875
172,car,99.91254806518556,13585
172,car,99.20883178710938,4368
172,car,88.4623110294342,840
172,car,99.20451641082764,1554
173,car,89.99071717262268,6290
173,car,89.88108038902283,12008
173,car,81.73460960388184,286
173,car,66.07062220573425,154
173,car,69.97343897819519,150
173,car,74.40463900566101,170
173,car,83.27934145927429,814
173,car,90.47564268112184,552
173,car,87.98416256904602,336
173,car,88.16453814506531,858
